row_in_metadata,identifier,succeeded,message
58,swva_fchs_2010.004.001,True,Row 58: swva_fchs_2010.004.001 has been successfully imported. Succeeded: True
59,swva_fchs_2010.006.001,True,Row 59: swva_fchs_2010.006.001 has been successfully imported. Succeeded: True
60,swva_fchs_2010.007.001,True,Row 60: swva_fchs_2010.007.001 has been successfully imported. Succeeded: True
61,swva_fchs_2010.008.001,True,Row 61: swva_fchs_2010.008.001 has been successfully imported. Succeeded: True
62,swva_fchs_2010.010.001,True,Row 62: swva_fchs_2010.010.001 has been successfully imported. Succeeded: True
63,swva_fchs_2011.001,False,Error Row 63: manifest.json not found for Archive swva_fchs_2011.001 in s3 bucket. Succeeded: False
64,swva_fchs_2011.001.005,False,Error Row 64: manifest.json not found for Archive swva_fchs_2011.001.005 in s3 bucket. Succeeded: False
65,swva_fchs_2011.001.006,False,Error Row 65: manifest.json not found for Archive swva_fchs_2011.001.006 in s3 bucket. Succeeded: False
66,swva_fchs_2011.001.010,False,Error Row 66: manifest.json not found for Archive swva_fchs_2011.001.010 in s3 bucket. Succeeded: False
67,swva_fchs_2011.001.011,False,Error Row 67: manifest.json not found for Archive swva_fchs_2011.001.011 in s3 bucket. Succeeded: False
68,swva_fchs_2011.001.012,False,Error Row 68: manifest.json not found for Archive swva_fchs_2011.001.012 in s3 bucket. Succeeded: False
69,swva_fchs_2011.001.013,False,Error Row 69: manifest.json not found for Archive swva_fchs_2011.001.013 in s3 bucket. Succeeded: False
70,swva_fchs_2011.001.016,False,Error Row 70: manifest.json not found for Archive swva_fchs_2011.001.016 in s3 bucket. Succeeded: False
71,swva_fchs_2011.001.018,False,Error Row 71: manifest.json not found for Archive swva_fchs_2011.001.018 in s3 bucket. Succeeded: False
72,swva_fchs_2011.001.019,False,Error Row 72: manifest.json not found for Archive swva_fchs_2011.001.019 in s3 bucket. Succeeded: False
73,swva_fchs_2011.001.021,False,Error Row 73: manifest.json not found for Archive swva_fchs_2011.001.021 in s3 bucket. Succeeded: False
74,swva_fchs_2011.001.025,False,Error Row 74: manifest.json not found for Archive swva_fchs_2011.001.025 in s3 bucket. Succeeded: False
75,swva_fchs_2011.001.026,False,Error Row 75: manifest.json not found for Archive swva_fchs_2011.001.026 in s3 bucket. Succeeded: False
76,swva_fchs_2011.001.028,False,Error Row 76: manifest.json not found for Archive swva_fchs_2011.001.028 in s3 bucket. Succeeded: False
77,swva_fchs_2011.001.029,False,Error Row 77: manifest.json not found for Archive swva_fchs_2011.001.029 in s3 bucket. Succeeded: False
78,swva_fchs_2011.001.032,False,Error Row 78: manifest.json not found for Archive swva_fchs_2011.001.032 in s3 bucket. Succeeded: False
79,swva_fchs_2011.001.033,False,Error Row 79: manifest.json not found for Archive swva_fchs_2011.001.033 in s3 bucket. Succeeded: False
80,swva_fchs_2011.001.035,False,Error Row 80: manifest.json not found for Archive swva_fchs_2011.001.035 in s3 bucket. Succeeded: False
81,swva_fchs_2011.002.001,True,Row 81: swva_fchs_2011.002.001 has been successfully imported. Succeeded: True
82,swva_fchs_2011.004.001,True,Row 82: swva_fchs_2011.004.001 has been successfully imported. Succeeded: True
83,swva_fchs_2011.007.008,True,Row 83: swva_fchs_2011.007.008 has been successfully imported. Succeeded: True
84,swva_fchs_2011.030.002,True,Row 84: swva_fchs_2011.030.002 has been successfully imported. Succeeded: True
85,swva_fchs_2012.002.001,True,Row 85: swva_fchs_2012.002.001 has been successfully imported. Succeeded: True
86,swva_fchs_2012.008.001,True,Row 86: swva_fchs_2012.008.001 has been successfully imported. Succeeded: True
87,swva_fchs_2012.015.001,True,Row 87: swva_fchs_2012.015.001 has been successfully imported. Succeeded: True
88,swva_fchs_2013.001.001,True,Row 88: swva_fchs_2013.001.001 has been successfully imported. Succeeded: True
89,swva_fchs_2013.004.001,True,Row 89: swva_fchs_2013.004.001 has been successfully imported. Succeeded: True
90,swva_fchs_2013.004.002,True,Row 90: swva_fchs_2013.004.002 has been successfully imported. Succeeded: True
91,swva_fchs_2013.006.002,True,Row 91: swva_fchs_2013.006.002 has been successfully imported. Succeeded: True
92,swva_fchs_2013.039.003,True,Row 92: swva_fchs_2013.039.003 has been successfully imported. Succeeded: True
93,swva_fchs_2013.054.002,True,Row 93: swva_fchs_2013.054.002 has been successfully imported. Succeeded: True
94,swva_fchs_2013.062.001,False,Error Row 94: manifest.json not found for Archive swva_fchs_2013.062.001 in s3 bucket. Succeeded: False
95,swva_fchs_2013.062.002,False,Error Row 95: manifest.json not found for Archive swva_fchs_2013.062.002 in s3 bucket. Succeeded: False
96,swva_fchs_2013.062.003,False,Error Row 96: manifest.json not found for Archive swva_fchs_2013.062.003 in s3 bucket. Succeeded: False
97,swva_fchs_2013.062.004,False,Error Row 97: manifest.json not found for Archive swva_fchs_2013.062.004 in s3 bucket. Succeeded: False
98,swva_fchs_2013.062.005,False,Error Row 98: manifest.json not found for Archive swva_fchs_2013.062.005 in s3 bucket. Succeeded: False
99,swva_fchs_2013.062.006,False,Error Row 99: manifest.json not found for Archive swva_fchs_2013.062.006 in s3 bucket. Succeeded: False
100,swva_fchs_2013.062.007,False,Error Row 100: manifest.json not found for Archive swva_fchs_2013.062.007 in s3 bucket. Succeeded: False
101,swva_fchs_2013.062.008,False,Error Row 101: manifest.json not found for Archive swva_fchs_2013.062.008 in s3 bucket. Succeeded: False
