identifier,basis_of_record,other_identifier,MS_identifier,title,contributor,date,display_date,start_date,description,spatial,locality,location,decimalLatitude,decimalLongitude,repository,license,rights_holder,recordId,references,visibility,type,format
VTEC000007670,PreservedSpecimen,Occurrence ID: 7868ab6a-ca20-4537-9228-4d61725f2303,624899,Anartia,C. V. Covell (recorded by),3/24/1963,3/24/1963,3/24/1963,lifeStage: Adult||preparations: pinned specimen,"""Miami-Dade, Florida, United States""","Rt. 1, S. of Florida City",25.416491 || -80.472032,25.416491,-80.472032,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:7868ab6a-ca20-4537-9228-4d61725f2303,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57363724,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007675,PreservedSpecimen,Occurrence ID: 36edaca6-eeb7-4381-8899-834bee4c34f6,624899,"Euptoieta claudia ((Cramer, 1775))",C. V. Covell (recorded by),7/1/1955,7/1/1955,7/1/1955,lifeStage: Adult||preparations: pinned specimen,"""Suffolk, Virginia, United States""",Holland,36.681262 || -76.780236,36.681262,-76.780236,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:36edaca6-eeb7-4381-8899-834bee4c34f6,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57363780,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007721,PreservedSpecimen,Occurrence ID: 57b6d184-6892-4de1-a5de-78fd8cb7f64b,624900,"Limenitis lorquini (Boisduval, 1852)",,4/28/1939,4/28/1939,4/28/1939,lifeStage: Adult||preparations: pinned specimen,"""Sacramento, California, United States""",Sacramento,38.58167 || -121.49333,38.58167,-121.49333,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:57b6d184-6892-4de1-a5de-78fd8cb7f64b,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57365025,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007723,PreservedSpecimen,Occurrence ID: 3914963f-6192-4503-b4cf-88f86cdb0659,624901,Limenitis arthemis ((Drury)),,8/15/1974,8/15/1974,8/15/1974,lifeStage: Adult||preparations: pinned specimen,"""Province of Manitoba, Canada""",Nr. Falcon Lake,49.7 || -95.25,49.7,-95.25,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:3914963f-6192-4503-b4cf-88f86cdb0659,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57372044,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007725,PreservedSpecimen,Occurrence ID: 682b88cb-257a-427a-a3d5-6f6227994487,624902,Nymphalidae,,,,,lifeStage: Adult||preparations: pinned specimen,,0,0 || 0,0,0,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:682b88cb-257a-427a-a3d5-6f6227994487,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57372063,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007727,PreservedSpecimen,Occurrence ID: 44715edd-fa78-4710-993a-3d0cb7aee50c,624903,Nymphalidae,,,,,lifeStage: Adult||preparations: pinned specimen,"""Sumatra, Indonesia""",Fort de Kock,-0.300361 || 100.367343,-0.300361,100.367343,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:44715edd-fa78-4710-993a-3d0cb7aee50c,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57372419,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007733,PreservedSpecimen,Occurrence ID: 67b32764-df93-4d33-aa75-1590953f4574,624904,Acraea neobule,,,,,lifeStage: Adult||preparations: pinned specimen,"""Democratic Republic of the Congo""",0,-2.788531 || 23.489258,-2.788531,23.489258,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:67b32764-df93-4d33-aa75-1590953f4574,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57380763,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007735,PreservedSpecimen,Occurrence ID: 044d2117-cb68-47b8-a4c9-75eb04752102,624905,Acraea egina,,,,,lifeStage: Adult||sex: Male||preparations: pinned specimen,"""Sierra Leone""",0,8.5 || -11.5,8.5,-11.5,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:044d2117-cb68-47b8-a4c9-75eb04752102,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57380830,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007737,PreservedSpecimen,Occurrence ID: b485fb2d-0a33-4d64-b816-d7c6ae650cd7,624906,Salamis cacta,A. Gallay (recorded by),1966-04,1966-04,1966-04,lifeStage: Adult||preparations: pinned specimen,"""Cote D'Ivoire""",Abidjan,5.365718 || -4.016776,5.365718,-4.016776,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:b485fb2d-0a33-4d64-b816-d7c6ae650cd7,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57380847,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007739,PreservedSpecimen,Occurrence ID: 0dd42ee4-096d-4284-a05e-d991b7ef8b89,624907,Nymphalidae,,,,,lifeStage: Adult||preparations: pinned specimen,,0,0 || 0,0,0,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:0dd42ee4-096d-4284-a05e-d991b7ef8b89,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57380886,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007741,PreservedSpecimen,Occurrence ID: 3cd5502f-c096-4af2-b133-96d3ac6757cc,624908,Aglais io (Linnaeus 1758),V. Kubelka (recorded by),7/4/1970,7/4/1970,7/4/1970,lifeStage: Adult||preparations: pinned specimen,"""Bohemia, Czech Republic""",Prague,50.075538 || 14.4378,50.075538,14.4378,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:3cd5502f-c096-4af2-b133-96d3ac6757cc,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57380900,TRUE,three dimensional object||still image,model/x3d || image/tiff
