identifier,basis_of_record,occurrence_ID,other_identifier,MS_identifier,title,contributor,recordedBy,date,display_date,start_date,description,spatial,locality,location,decimalLatitude,decimalLongitude,repository,license,rights_holder,recordId,references,georeferencedBy,identifiedBy,type,format,visibility
VTEC000007500,PreservedSpecimen,Occurrence ID: ae08c30e-5121-4248-9fc2-24479b80387c,Occurrence ID: ae08c30e-5121-4248-9fc2-24479b80387c||Record ID: ae08c30e-5121-4248-9fc2-24479b80387c,624879,"Euphydryas phaeton (Drury, 1773)",R. L. Hoffman (recorded by)||B. L. Connors (georeferenced by),R. L. Hoffman (recorded by),1958-06-17,1958-06-17,1958/06/17,lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",5 miles NE of Blacksburg,37.280824 || -80.34955,37.280824,-80.34955,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,ae08c30e-5121-4248-9fc2-24479b80387c,https://ecdysis.org/collections/individual/index.php?occid=1732434,B. L. Connors (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007568,PreservedSpecimen,Occurrence ID: 03230bcd-4a8c-4968-92d7-4b0b45220f03,Occurrence ID: 03230bcd-4a8c-4968-92d7-4b0b45220f03||Record ID: 03230bcd-4a8c-4968-92d7-4b0b45220f03,624880,"Cirrochroa (Doubleday, 1847)",H. P. Dunleavy (georeferenced by),,,,,lifeStage: Adult||preparations: pinned specimen,"""Sumatra, Indonesia""",,-0.589724 || 101.343106,-0.589724,101.343106,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,03230bcd-4a8c-4968-92d7-4b0b45220f03,https://ecdysis.org/collections/individual/index.php?occid=1732505,H. P. Dunleavy (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007576,PreservedSpecimen,Occurrence ID: 2bd1683c-b582-409b-9968-4329cad725d2,Occurrence ID: 2bd1683c-b582-409b-9968-4329cad725d2||Record ID: 2bd1683c-b582-409b-9968-4329cad725d2,624882,"moduza (Moore, 1881)",,,,,,lifeStage: Adult||preparations: pinned specimen,,,,,,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,2bd1683c-b582-409b-9968-4329cad725d2,https://ecdysis.org/collections/individual/index.php?occid=1732513,,,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007577,PreservedSpecimen,Occurrence ID: 2d81fd0a-e169-4853-b9fb-a3196d0c48f1,Occurrence ID: 2d81fd0a-e169-4853-b9fb-a3196d0c48f1||Record ID: 2d81fd0a-e169-4853-b9fb-a3196d0c48f1,624883,"Limenitis procris (Cramer, 1777)",H. P. Dunleavy (georeferenced by),,,,,lifeStage: Adult||preparations: pinned specimen,"""Kerala, India""",Malabar Coast,10 || 76.25,10,76.25,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,2d81fd0a-e169-4853-b9fb-a3196d0c48f1,https://ecdysis.org/collections/individual/index.php?occid=1732514,H. P. Dunleavy (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007581,PreservedSpecimen,Occurrence ID: 57944635-de5a-4d36-bf85-7ed5246c0748,Occurrence ID: 57944635-de5a-4d36-bf85-7ed5246c0748||Record ID: 57944635-de5a-4d36-bf85-7ed5246c0748,624885,"speyeria idalia (Drury, 1773)",C. V. Covell (recorded by)||B. L. Connors (georeferenced by),C. V. Covell (recorded by),1961-06-28,1961-06-28,1961/06/28,lifeStage: Adult||sex: Male||preparations: pinned specimen,"""Montgomery, Virginia, United States""",Pepper Sta.,37.253044 || -80.415582,37.253044,-80.415582,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,57944635-de5a-4d36-bf85-7ed5246c0748,https://ecdysis.org/collections/individual/index.php?occid=1732518,B. L. Connors (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007614,PreservedSpecimen,Occurrence ID: ed11d3bd-9b7e-44bd-99ac-75aa37725c2e,Occurrence ID: ed11d3bd-9b7e-44bd-99ac-75aa37725c2e||Record ID: ed11d3bd-9b7e-44bd-99ac-75aa37725c2e,624886,Marpesia marcella (Felder 1861),M. Kosztarab (recorded by)||H. P. Dunleavy (georeferenced by),M. Kosztarab (recorded by),1970-02-13,1970-02-13,1970/02/13,lifeStage: Adult||preparations: pinned specimen,"""Costa Rica""","Las Cruces, near San Vito",8.789424 || -82.954651,8.789424,-82.954651,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,ed11d3bd-9b7e-44bd-99ac-75aa37725c2e,https://ecdysis.org/collections/individual/index.php?occid=1732551,H. P. Dunleavy (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007623,PreservedSpecimen,Occurrence ID: 9d6b5d0a-ac3b-4c76-bf6a-6234b04495de,Occurrence ID: 9d6b5d0a-ac3b-4c76-bf6a-6234b04495de||Record ID: 9d6b5d0a-ac3b-4c76-bf6a-6234b04495de,624889,"Siproeta epaphus (Latreille, 1813)",M. Kosztarab (recorded by)||H. P. Dunleavy (georeferenced by),M. Kosztarab (recorded by),1970-02-19,1970-02-19,1970/02/19,lifeStage: Adult||preparations: pinned specimen,"""Costa Rica""","Las Crusces, near San Vito",8.784418 || -82.958715,8.784418,-82.958715,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,9d6b5d0a-ac3b-4c76-bf6a-6234b04495de,https://ecdysis.org/collections/individual/index.php?occid=1732560,H. P. Dunleavy (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007628,PreservedSpecimen,Occurrence ID: cbe547ad-ed13-4255-9a28-7d6c7ed9f54e,Occurrence ID: cbe547ad-ed13-4255-9a28-7d6c7ed9f54e||Record ID: cbe547ad-ed13-4255-9a28-7d6c7ed9f54e,624891,Anartia amathea (Linnaeus 1758),M. Kosztarab (recorded by)||H. P. Dunleavy (georeferenced by),M. Kosztarab (recorded by),1970-02-15,1970-02-15,1970/02/15,lifeStage: Adult||preparations: pinned specimen,"""Costa Rica""",Las Cruces,8.790977 || -82.955516,8.790977,-82.955516,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,cbe547ad-ed13-4255-9a28-7d6c7ed9f54e,https://ecdysis.org/collections/individual/index.php?occid=1732565,H. P. Dunleavy (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007646,PreservedSpecimen,Occurrence ID: 72b91fa3-d396-435b-b8f1-ebce9871b77c,Occurrence ID: 72b91fa3-d396-435b-b8f1-ebce9871b77c||Record ID: 72b91fa3-d396-435b-b8f1-ebce9871b77c,624892,Biblis hyperia (Cramer),,,,,,,,,,,,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,72b91fa3-d396-435b-b8f1-ebce9871b77c,https://ecdysis.org/collections/individual/index.php?occid=1732581,,,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007650,PreservedSpecimen,Occurrence ID: d65d1e52-a0ac-4406-bbe8-f823f0b68d67,Occurrence ID: d65d1e52-a0ac-4406-bbe8-f823f0b68d67||Record ID: d65d1e52-a0ac-4406-bbe8-f823f0b68d67,624894,Actinote,M. Kosztarab (recorded by)||H. P. Dunleavy (georeferenced by),M. Kosztarab (recorded by),1970-02-19,1970-02-19,1970/02/19,lifeStage: Adult||preparations: pinned specimen,"""Puntarenas, Costa Rica""","Las Cruces, near San Vito; 8.791289 -82.955711",8.791289 || -82.955711,8.791289,-82.955711,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,d65d1e52-a0ac-4406-bbe8-f823f0b68d67,https://ecdysis.org/collections/individual/index.php?occid=1732586,H. P. Dunleavy (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
