identifier,basis_of_record,occurrence_ID,other_identifier,MS_identifier,title,contributor,recordedBy,date,display_date,start_date,description,spatial,locality,location,decimalLatitude,decimalLongitude,repository,license,rights_holder,recordId,references,georeferencedBy,identifiedBy,type,format,visibility
VTEC000004847,PreservedSpecimen,Occurrence ID: fde5faff-493c-43dc-b79c-e86ddbd259b8,Occurrence ID: fde5faff-493c-43dc-b79c-e86ddbd259b8||Record ID: fde5faff-493c-43dc-b79c-e86ddbd259b8,449595,"Lytta (Fabricius, 1775)",A. M. Woodside (recorded by)||M. E. Hellier (georeferenced by),A. M. Woodside (recorded by),1946-04-15,1946-04-15,1946/04/15,habitat: on peach||lifeStage: Adult||preparations: pinned specimen,"""Albemarle, Virginia, United States""",Greenwood,38.055693 || -78.770577,38.055693,-78.770577,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,fde5faff-493c-43dc-b79c-e86ddbd259b8,https://ecdysis.org/collections/individual/index.php?occid=1730433,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004835,PreservedSpecimen,Occurrence ID: fc59849b-c58b-4b05-a2b5-e8b5f2a988c4,Occurrence ID: fc59849b-c58b-4b05-a2b5-e8b5f2a988c4||Record ID: fc59849b-c58b-4b05-a2b5-e8b5f2a988c4,450416,Scolia bicincta (Fabricius),J. M. Grayson (recorded by)||M. E. Hellier (georeferenced by),J. M. Grayson (recorded by),1944-08-29,1944-08-29,1944/08/29,lifeStage: Adult||preparations: pinned specimen,"""Suffolk, Virginia, United States""",Holland,36.681262 || -76.780236,36.681262,-76.780236,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,fc59849b-c58b-4b05-a2b5-e8b5f2a988c4,https://ecdysis.org/collections/individual/index.php?occid=1730421,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004836,PreservedSpecimen,Occurrence ID: 7671e354-fe73-41a1-881c-0f4bb094388b,Occurrence ID: 7671e354-fe73-41a1-881c-0f4bb094388b||Record ID: 7671e354-fe73-41a1-881c-0f4bb094388b,469738,"Euphoria fulgida (Fabricius, 1775)",E. Day (recorded by)||M. E. Hellier (georeferenced by),E. Day (recorded by),1998-06-03,1998-06-03,1998/06/03,lifeStage: Adult||preparations: pinned specimen,"""Frederick, Virginia, United States""",,39.203931 || -78.271973,39.203931,-78.271973,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,7671e354-fe73-41a1-881c-0f4bb094388b,https://ecdysis.org/collections/individual/index.php?occid=1730422,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004837,PreservedSpecimen,Occurrence ID: 7ba3801b-a6b5-4729-a1ed-8506eec33b27,Occurrence ID: 7ba3801b-a6b5-4729-a1ed-8506eec33b27||Record ID: 7ba3801b-a6b5-4729-a1ed-8506eec33b27,469739,"Euphoria inda (Linnaeus, 1758)",Marvin L. Bobb (recorded by)||M. E. Hellier (georeferenced by)||M. L. Bobb (identified by),Marvin L. Bobb (recorded by),1934-08-21,1934-08-21,1934/08/21,lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",Blacksburg,37.229573 || -80.413939,37.229573,-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,7ba3801b-a6b5-4729-a1ed-8506eec33b27,https://ecdysis.org/collections/individual/index.php?occid=1730423,M. E. Hellier (georeferenced by),M. L. Bobb (identified by),three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004838,PreservedSpecimen,Occurrence ID: 645e2ce4-2b27-4fd8-8894-084d25a89281,Occurrence ID: 645e2ce4-2b27-4fd8-8894-084d25a89281||Record ID: 645e2ce4-2b27-4fd8-8894-084d25a89281,469740,Rhaxonycha carolina,"C. B. Nolen, Jr. (recorded by)||M. E. Hellier (georeferenced by)","C. B. Nolen, Jr. (recorded by)",1959-05-06,1959-05-06,1959/05/06,lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",Blacksburg,37.229573 || -80.413939,37.229573,-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,645e2ce4-2b27-4fd8-8894-084d25a89281,https://ecdysis.org/collections/individual/index.php?occid=1730424,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004843,PreservedSpecimen,Occurrence ID: 6d628fb5-5e5f-4cea-9687-dfb88dde7944,Occurrence ID: 6d628fb5-5e5f-4cea-9687-dfb88dde7944||Record ID: 6d628fb5-5e5f-4cea-9687-dfb88dde7944,572179,Chilocorus stigma,J. R. Bliss (recorded by)||M. E. Hellier (georeferenced by),J. R. Bliss (recorded by),1962-04-23,1962-04-23,1962/04/23,habitat: Field||lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",Blacksburg,37.229573 || -80.413939,37.229573,-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,6d628fb5-5e5f-4cea-9687-dfb88dde7944,https://ecdysis.org/collections/individual/index.php?occid=1730429,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004844,PreservedSpecimen,Occurrence ID: 3fd1117c-cbb4-4c8b-a650-ddedffe2b785,Occurrence ID: 3fd1117c-cbb4-4c8b-a650-ddedffe2b785||Record ID: 3fd1117c-cbb4-4c8b-a650-ddedffe2b785,572180,Hoshihananomia octopunctata,Garth (recorded by)||M. E. Hellier (georeferenced by)||Downie (identified by),Garth (recorded by),1942-05,1942-05,1942/05,lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",Blacksburg,37.229573 || -80.413939,37.229573,-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,3fd1117c-cbb4-4c8b-a650-ddedffe2b785,https://ecdysis.org/collections/individual/index.php?occid=1730430,M. E. Hellier (georeferenced by),Downie (identified by),three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004845,PreservedSpecimen,Occurrence ID: 0d828112-9e71-4b84-a100-ee544bb48cc5,Occurrence ID: 0d828112-9e71-4b84-a100-ee544bb48cc5||Record ID: 0d828112-9e71-4b84-a100-ee544bb48cc5,572181,Tomoxia lineella,Eric Day (recorded by)||M. E. Hellier (georeferenced by),Eric Day (recorded by),2002-07-09,2002-07-09,2002/07/09,lifeStage: Adult||preparations: pinned specimen,"""Loudoun, Virginia, United States""","Malick Farm, Neersville",39.261213 || -77.725826,39.261213,-77.725826,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,0d828112-9e71-4b84-a100-ee544bb48cc5,https://ecdysis.org/collections/individual/index.php?occid=1730431,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004848,PreservedSpecimen,Occurrence ID: 5fcb5cc1-417e-43eb-b81c-ea749a64c61e,Occurrence ID: 5fcb5cc1-417e-43eb-b81c-ea749a64c61e||Record ID: 5fcb5cc1-417e-43eb-b81c-ea749a64c61e,572182,Pyrota mutata (Gemminger),A. M. Woodside (recorded by)||M. E. Hellier (georeferenced by),A. M. Woodside (recorded by),1947-06-24,1947-06-24,1947/06/24,habitat: on Achillea millefolium||lifeStage: Adult||preparations: pinned specimen,"""Albemarle, Virginia, United States""",Crozet,38.069582 || -78.700575,38.069582,-78.700575,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,5fcb5cc1-417e-43eb-b81c-ea749a64c61e,https://ecdysis.org/collections/individual/index.php?occid=1730434,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004849,PreservedSpecimen,Occurrence ID: 4d0d5b53-9e32-4919-bf39-3bed11149784,Occurrence ID: 4d0d5b53-9e32-4919-bf39-3bed11149784||Record ID: 4d0d5b53-9e32-4919-bf39-3bed11149784,572184,"Epicauta (Dejean, 1834)",T. McAvoy (recorded by)||M. E. Hellier (georeferenced by),T. McAvoy (recorded by),1974-08-17,1974-08-17,1974/08/17,lifeStage: Adult||preparations: pinned specimen,"""New Castle, Delaware, United States""",Newark,39.683723 || -75.749657,39.683723,-75.749657,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,4d0d5b53-9e32-4919-bf39-3bed11149784,https://ecdysis.org/collections/individual/index.php?occid=1730435,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004850,PreservedSpecimen,Occurrence ID: 92f20cad-3e89-4701-a688-418566724c67,Occurrence ID: 92f20cad-3e89-4701-a688-418566724c67||Record ID: 92f20cad-3e89-4701-a688-418566724c67,572186,"Pidonia aurata (Horn, 1860)",Barry Lee Bressler (recorded by)||M. E. Hellier (georeferenced by)||G. Schiermeyer (identified by),Barry Lee Bressler (recorded by),1978-07-08,1978-07-08,1978/07/08,habitat: Spikenard||lifeStage: Adult||preparations: pinned specimen,"""Augusta, Virginia, United States""",Ramsey's Draft,38.346025 || -79.332694,38.346025,-79.332694,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,92f20cad-3e89-4701-a688-418566724c67,https://ecdysis.org/collections/individual/index.php?occid=1730436,M. E. Hellier (georeferenced by),G. Schiermeyer (identified by),three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004851,PreservedSpecimen,Occurrence ID: ec24cc76-21be-4ed8-9628-f89c38b41564,Occurrence ID: ec24cc76-21be-4ed8-9628-f89c38b41564||Record ID: ec24cc76-21be-4ed8-9628-f89c38b41564,572189,Analeptura lineola,Mike Williams (recorded by)||M. E. Hellier (georeferenced by),Mike Williams (recorded by),1970-06-25,1970-06-25,1970/06/25,lifeStage: Adult||preparations: pinned specimen,"""Rockbridge, Virginia, United States""","Natue Camp, Vesuvius",37.876759 || -79.216433,37.876759,-79.216433,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,ec24cc76-21be-4ed8-9628-f89c38b41564,https://ecdysis.org/collections/individual/index.php?occid=1730437,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004853,PreservedSpecimen,Occurrence ID: 4fb5d972-a1fc-41c3-81ee-e8a72a8201a0,Occurrence ID: 4fb5d972-a1fc-41c3-81ee-e8a72a8201a0||Record ID: 4fb5d972-a1fc-41c3-81ee-e8a72a8201a0,572191,Typocerus lunulatus,Barry Lee Bressler (recorded by)||M. E. Hellier (georeferenced by)||G. Schiermeyer (identified by),Barry Lee Bressler (recorded by),,,,lifeStage: Adult||preparations: pinned specimen,"""Spotsylvania, Virginia, United States""",Fredericksburg,38.303184 || -77.46054,38.303184,-77.46054,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,4fb5d972-a1fc-41c3-81ee-e8a72a8201a0,https://ecdysis.org/collections/individual/index.php?occid=1730439,M. E. Hellier (georeferenced by),G. Schiermeyer (identified by),three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004854,PreservedSpecimen,Occurrence ID: 2eb425c5-ba17-429e-a512-ea43c702d971,Occurrence ID: 2eb425c5-ba17-429e-a512-ea43c702d971||Record ID: 2eb425c5-ba17-429e-a512-ea43c702d971,572192,Typocerus sinuatus,M. L. Bobb (recorded by)||M. E. Hellier (georeferenced by)||R. L. H. (identified by),M. L. Bobb (recorded by),,,,lifeStage: Adult||preparations: pinned specimen,"""Roanoke, Virginia, United States""",Bonsack,37.325356 || -79.869186,37.325356,-79.869186,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,2eb425c5-ba17-429e-a512-ea43c702d971,https://ecdysis.org/collections/individual/index.php?occid=1730440,M. E. Hellier (georeferenced by),R. L. H. (identified by),three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004857,PreservedSpecimen,Occurrence ID: aed6dc41-0367-4ff6-ba17-e728c69d6e3b,Occurrence ID: aed6dc41-0367-4ff6-ba17-e728c69d6e3b||Record ID: aed6dc41-0367-4ff6-ba17-e728c69d6e3b,572193,Judolia cordifera,Barry Lee Bressler (recorded by)||M. E. Hellier (georeferenced by)||G. Schiermeyer (identified by),Barry Lee Bressler (recorded by),1981-06-11,1981-06-11,1981/06/11,lifeStage: Adult||preparations: pinned specimen,"""Stafford, Virginia, United States""",Ferry Farm,38.293184 || -77.437484,38.293184,-77.437484,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,aed6dc41-0367-4ff6-ba17-e728c69d6e3b,https://ecdysis.org/collections/individual/index.php?occid=1730443,M. E. Hellier (georeferenced by),G. Schiermeyer (identified by),three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004858,PreservedSpecimen,Occurrence ID: 90057e4c-20b8-4f3c-ae3d-d7f9d99a0bbb,Occurrence ID: 90057e4c-20b8-4f3c-ae3d-d7f9d99a0bbb||Record ID: 90057e4c-20b8-4f3c-ae3d-d7f9d99a0bbb,573266,Strangalepta abbreviata,S. W. Bullington (recorded by)||M. E. Hellier (georeferenced by)||Robert H. Perry (identified by),S. W. Bullington (recorded by),1976-05-22,1976-05-22,1976/05/22,"habitat: Dismal Swamp, blackberry fllowers||lifeStage: Adult||preparations: pinned specimen","""Gates, North Carolina, United States""","Dismal Swamp, Atlantic Rd.",36.443174 || -76.608052,36.443174,-76.608052,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,90057e4c-20b8-4f3c-ae3d-d7f9d99a0bbb,https://ecdysis.org/collections/individual/index.php?occid=1730444,M. E. Hellier (georeferenced by),Robert H. Perry (identified by),three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004859,PreservedSpecimen,Occurrence ID: 662828b6-72cb-4eea-a4ce-2f1fc76a273e,Occurrence ID: 662828b6-72cb-4eea-a4ce-2f1fc76a273e||Record ID: 662828b6-72cb-4eea-a4ce-2f1fc76a273e,573267,Evodinus monticola vancouveri,J. B. Karren (recorded by)||M. E. Hellier (georeferenced by),J. B. Karren (recorded by),1961-06-16,1961-06-16,1961/06/16,lifeStage: Adult||preparations: pinned specimen,"""Lane, Oregon, United States""","Gold Lake, Williamette Nat. Forest",43.633422 || -122.04303,43.633422,-122.04303,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,662828b6-72cb-4eea-a4ce-2f1fc76a273e,https://ecdysis.org/collections/individual/index.php?occid=1730445,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004860,PreservedSpecimen,Occurrence ID: dfd22a3c-2759-4a50-ac55-df3de0c3213d,Occurrence ID: dfd22a3c-2759-4a50-ac55-df3de0c3213d||Record ID: dfd22a3c-2759-4a50-ac55-df3de0c3213d,573268,Stenelytrana emarginata,M. E. Hellier (georeferenced by),,1942-06-06,1942-06-06,1942/06/06,lifeStage: Adult||preparations: pinned specimen,"""Frederick, Virginia, United States""",Oak Grove Orchard,39.205394 || -78.261607,39.205394,-78.261607,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,dfd22a3c-2759-4a50-ac55-df3de0c3213d,https://ecdysis.org/collections/individual/index.php?occid=1730446,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004861,PreservedSpecimen,Occurrence ID: 0d972ea4-7230-49af-abd1-cf656f41cfb6,Occurrence ID: 0d972ea4-7230-49af-abd1-cf656f41cfb6||Record ID: 0d972ea4-7230-49af-abd1-cf656f41cfb6,573269,"Brachyleptura rubrica (Say, 1824)",Barry Lee Bressler (recorded by)||M. E. Hellier (georeferenced by)||G. Schiermeyer (identified by),Barry Lee Bressler (recorded by),1989-06-11,1989-06-11,1989/06/11,lifeStage: Adult||preparations: pinned specimen,"""Spotsylvania, Virginia, United States""",,38.185459 || -77.65824,38.185459,-77.65824,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,0d972ea4-7230-49af-abd1-cf656f41cfb6,https://ecdysis.org/collections/individual/index.php?occid=1730447,M. E. Hellier (georeferenced by),G. Schiermeyer (identified by),three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004862,PreservedSpecimen,Occurrence ID: 4db78476-c8fe-4519-9103-186d8d9b3855,Occurrence ID: 4db78476-c8fe-4519-9103-186d8d9b3855||Record ID: 4db78476-c8fe-4519-9103-186d8d9b3855,573270,Brachyleptura vagans,M. E. Hellier (georeferenced by),,1982-06-27,1982-06-27,1982/06/27,habitat: New Jersey Tea||lifeStage: Adult||preparations: pinned specimen,"""Rockingham, Virginia, United States""","Shenandoah Nat Park, Two Mile Run Overlook, MM 76",38.29789 || -78.648058,38.29789,-78.648058,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,4db78476-c8fe-4519-9103-186d8d9b3855,https://ecdysis.org/collections/individual/index.php?occid=1730448,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004864,PreservedSpecimen,Occurrence ID: 30c48760-cd5b-4b32-bf44-7de1d363bf9b,Occurrence ID: 30c48760-cd5b-4b32-bf44-7de1d363bf9b||Record ID: 30c48760-cd5b-4b32-bf44-7de1d363bf9b,573271,Stictoleptura canadensis,H. M. Kulman (recorded by)||M. E. Hellier (georeferenced by)||W. H. Tyson (identified by),H. M. Kulman (recorded by),1957-07,1957-07,1957/07,habitat: Pine logs||lifeStage: Adult||preparations: pinned specimen,"""Beltrami, Minnesota, United States""",Bemidji,47.462655 || -94.863454,47.462655,-94.863454,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,30c48760-cd5b-4b32-bf44-7de1d363bf9b,https://ecdysis.org/collections/individual/index.php?occid=1730450,M. E. Hellier (georeferenced by),W. H. Tyson (identified by),three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004865,PreservedSpecimen,Occurrence ID: d275bd5c-e256-4a03-9b4f-8ecd64f225c1,Occurrence ID: d275bd5c-e256-4a03-9b4f-8ecd64f225c1||Record ID: d275bd5c-e256-4a03-9b4f-8ecd64f225c1,573272,Xestoleptura octonotata (Say),M. E. Hellier (georeferenced by)||Robert H. Perry (identified by),,1968-07-07,1968-07-07,1968/07/07,lifeStage: Adult||preparations: pinned specimen,"""Beaver, Pennsylvania, United States""",Raccoon Creek Park,40.507066 || -80.432511,40.507066,-80.432511,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,d275bd5c-e256-4a03-9b4f-8ecd64f225c1,https://ecdysis.org/collections/individual/index.php?occid=1730451,M. E. Hellier (georeferenced by),Robert H. Perry (identified by),three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004866,PreservedSpecimen,Occurrence ID: d724cc7f-9924-4455-92bd-b07b9201f8d2,Occurrence ID: d724cc7f-9924-4455-92bd-b07b9201f8d2||Record ID: d724cc7f-9924-4455-92bd-b07b9201f8d2,573273,Charisalia americana,L. M. Los (recorded by)||M. E. Hellier (georeferenced by),L. M. Los (recorded by),1982-06-15,1982-06-15,1982/06/15,habitat: On vegetation||lifeStage: Adult||preparations: pinned specimen,"""Giles, Virginia, United States""",Little Stony Creek Cascades,37.361161 || -80.586819,37.361161,-80.586819,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,d724cc7f-9924-4455-92bd-b07b9201f8d2,https://ecdysis.org/collections/individual/index.php?occid=1730452,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004870,PreservedSpecimen,Occurrence ID: 077432e3-1aca-4e49-92ed-8ac00cb6f78f,Occurrence ID: 077432e3-1aca-4e49-92ed-8ac00cb6f78f||Record ID: 077432e3-1aca-4e49-92ed-8ac00cb6f78f,573274,Strangalia luteicornis,M. E. Hellier (georeferenced by),,1940-07-21,1940-07-21,1940/07/21,habitat: on wild carrot||lifeStage: Adult||preparations: pinned specimen,"""Augusta, Virginia, United States""",,38.160749 || -79.12854,38.160749,-79.12854,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,077432e3-1aca-4e49-92ed-8ac00cb6f78f,https://ecdysis.org/collections/individual/index.php?occid=1730456,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004871,PreservedSpecimen,Occurrence ID: 18663957-9b05-4b7e-a2e2-cbbcb83efea7,Occurrence ID: 18663957-9b05-4b7e-a2e2-cbbcb83efea7||Record ID: 18663957-9b05-4b7e-a2e2-cbbcb83efea7,573275,Strangalia acuminata,S. Bullington (recorded by)||M. E. Hellier (georeferenced by)||Robert H. Perry (identified by),S. Bullington (recorded by),1975-06-18,1975-06-18,1975/06/18,lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",,37.165606 || -80.384673,37.165606,-80.384673,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,18663957-9b05-4b7e-a2e2-cbbcb83efea7,https://ecdysis.org/collections/individual/index.php?occid=1730457,M. E. Hellier (georeferenced by),Robert H. Perry (identified by),three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004872,PreservedSpecimen,Occurrence ID: 350c5bbe-812d-471e-8f02-5430e7e850df,Occurrence ID: 350c5bbe-812d-471e-8f02-5430e7e850df||Record ID: 350c5bbe-812d-471e-8f02-5430e7e850df,573276,Strangalia famelica,L. M. Los (recorded by)||M. E. Hellier (georeferenced by),L. M. Los (recorded by),1980-06-21,1980-06-21,1980/06/21,habitat: On vegetation||lifeStage: Adult||preparations: pinned specimen,"""Botetourt, Virginia, United States""","Roaring Run Furnace, Rt. 621",37.707906 || -79.893106,37.707906,-79.893106,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,350c5bbe-812d-471e-8f02-5430e7e850df,https://ecdysis.org/collections/individual/index.php?occid=1730458,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004873,PreservedSpecimen,Occurrence ID: 2c1e062a-b6d7-4e74-aa98-59f2262b5110,Occurrence ID: 2c1e062a-b6d7-4e74-aa98-59f2262b5110||Record ID: 2c1e062a-b6d7-4e74-aa98-59f2262b5110,573277,Desmocerus palliatus,S. W. Bullington (recorded by)||M. E. Hellier (georeferenced by),S. W. Bullington (recorded by),1975-06-23,1975-06-23,1975/06/23,habitat: Pine tree||lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""","Brush Mtn. St., Rt. 624, 114 Meadowbrook Rd.",37.339269 || -80.253544,37.339269,-80.253544,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,2c1e062a-b6d7-4e74-aa98-59f2262b5110,https://ecdysis.org/collections/individual/index.php?occid=1730459,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004874,PreservedSpecimen,Occurrence ID: b9b94431-e89c-4dd5-bf6a-8b7b44be5113,Occurrence ID: b9b94431-e89c-4dd5-bf6a-8b7b44be5113||Record ID: b9b94431-e89c-4dd5-bf6a-8b7b44be5113,573278,Purpuricenus humeralis,M. E. Hellier (georeferenced by),,1989-06-30,1989-06-30,1989/06/30,lifeStage: Adult||preparations: pinned specimen,"""Essex, New Jersey, United States""",South Orange,40.74899 || -74.261258,40.74899,-74.261258,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,b9b94431-e89c-4dd5-bf6a-8b7b44be5113,https://ecdysis.org/collections/individual/index.php?occid=1730460,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004875,PreservedSpecimen,Occurrence ID: e0f2a366-4dac-44cd-82fa-6cd1acd77f10,Occurrence ID: e0f2a366-4dac-44cd-82fa-6cd1acd77f10||Record ID: e0f2a366-4dac-44cd-82fa-6cd1acd77f10,573279,"Psyrassa pertenuis (Casey, 1924)",Barry Lee Bressler (recorded by)||M. E. Hellier (georeferenced by)||G. Schiermeyer (identified by),Barry Lee Bressler (recorded by),1975-07-02,1975-07-02,1975/07/02,lifeStage: Adult||preparations: pinned specimen,"""Sevier, Tennessee, United States""",Gatlinburg,35.721139 || -83.49689,35.721139,-83.49689,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,e0f2a366-4dac-44cd-82fa-6cd1acd77f10,https://ecdysis.org/collections/individual/index.php?occid=1730461,M. E. Hellier (georeferenced by),G. Schiermeyer (identified by),three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004876,PreservedSpecimen,Occurrence ID: e008564f-3744-44bf-81e5-414b10a257cd,Occurrence ID: e008564f-3744-44bf-81e5-414b10a257cd||Record ID: e008564f-3744-44bf-81e5-414b10a257cd,573280,"Stenosphenus notatus (Olivier, 1795)",Barry Lee Bressler (recorded by)||M. E. Hellier (georeferenced by)||G. Schiermeyer (identified by),Barry Lee Bressler (recorded by),1980-06-02,1980-06-02,1980/06/02,lifeStage: Adult||preparations: pinned specimen,"""Stafford, Virginia, United States""",,38.414949 || -77.451546,38.414949,-77.451546,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,e008564f-3744-44bf-81e5-414b10a257cd,https://ecdysis.org/collections/individual/index.php?occid=1730462,M. E. Hellier (georeferenced by),G. Schiermeyer (identified by),three dimensional object||still image,model/x3d || image/tiff,TRUE
