identifier,title,description,language,creator,created,display_date,date,start_date,end_date,subject,type,medium,extent,spatial,collection,repository,rights,visibility
sfdst007046,"Fire Protective Mobilization Committee Memorandum Regarding an Organizational Meeting Concerning Zone 11, Dated From April 19, 1941 to May 12, 1941",1941 Memos regarding the zones set up by the VA Defense Council Fire Protective Mobilization Committee,en,,1941/04/19||1941/05/12,1941-04-19/1941-05-12,1941-04-19||1941-05-12,1941-04-19,1941-05-12,Fire departments|| Virginia,Text,memorandums,3 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007047,"Fire Protective Mobilization Committee Memorandum Regarding a Meeting About the Fire Protection of Eagle Rook, Dated from March 25, 1941 to March 26, 1941","1941 Memo regarding the VA Defense Council and meeting to discuss fire protection for Eagle Rook, as well as an attachment containing a bulletin of suggestions.",en,,1941/03/25||1941/03/26,1941-03-25/1941-03-26,1941-03-25||1941-03-26,1941-03-25,1941-03-26,Fire departments|| Virginia,Text,memorandums,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007048,"Commonwealth of Virginia Governor's Office, Virginia Defense Council Memorandum, March 19, 1941",1941 Memo from J.A. Anderson about meeting with L.A. Ballard at Kiwanis Club.,en,,1941/03/19,1941-03-19,1941-03-19,1941-03-19,,Fire departments|| Virginia,Text,memorandums,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007049,"Staunton Fire Department Memorandum Copy, March 25, 1941",1941 Memo about drawing up a plan for the VA Defense Council Fire Protective Mobilization Committee as well as an attached Maryland Fire Defense Plan to be used as a frame of reference.,en,,1941/03/25,1941-03-25,1941-03-25,1941-03-25,,Fire departments|| Virginia,Text,memorandums,9 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007050,"Salem Fire Department to Fire Protective Mobilization Committee Memorandum Concerning Recommendations for the Fire Protective Mobilization Plan, February 20, 1941",1941 Memo regarding the VA Defense Council Fire Protective Mobilization Committee listing suggestions that the plan could include among other objectives.,en,,1941/02/20,1941-02-20,1941-02-20,1941-02-20,,Fire departments|| Virginia,Text,memorandums,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007051,"Salem Fire Department to Fire Protective Mobilization Committee Memorandum, February 20, 1941",1941 VA Defense Council Fire Protective Mobilization Committee,en,,1941/02/20,1941-02-20,1941-02-20,1941-02-20,,Fire departments|| Virginia,Text,memorandums,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007052,"A Manual for Regional Defense Councils, Section 1, c. 1941",1941 VA Regional Defense Council manual section 1,en,,1941,1941,1941,1941,,Fire departments|| Virginia,Text,manuals (instructional materials),24 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007053,"Preliminary Report I.A.F.C. Sectional Committee on Disaster Emergencies, Disaster and War Emergency Planning, c. 1941","1941 IAFC, written for the International Association of Fire Chiefs annual conference for the purposes of disaster and war emergency planning. Cover page says 1940 despite the original spreadsheet saying ""1941 IAFC"" for the title.",en,,194X,194X,194X,1940,1949,Fire departments|| Virginia,Text,administrative reports,32 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007054,"County of Roanoke Office of Civilian Defense Memorandum and Certificate, December 31, 1945",Roanoke County Civilian Defense memorandum with a certificate included as its attachment.,en,,1945/12/31,1945-12-31,1945-12-31,1945-12-31,,Fire departments|| Virginia,Text,memorandums,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007055,"County of Roanoke Office of Civil Defense Memorandum, c.1954-1955","1955 Roanoke County Salem Office of Civil Defense memo, which includes an attached list of voluntary firefighters and an instruction and maintenance manual.",en,,1954||1955,1954/1955,1954||1955,1954,1955,Fire departments|| Virginia,Text,memorandums,9 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007056,"A Handbook for Auxiliary Firemen, c. 1941","1941 Handbook for Auxiliary Firemen written by the Office of Civilian Defense To teach them about special issues, forcible entry, ventilation, incendiary bombs, war gases, and more.",en,,1941/12,1941-12,1941-12,1941-12,,Fire departments|| Virginia,Text,handbooks,100 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007057,"Fire Protective Mobilization Committee Memorandum Describing the Committee Members and its Goals, May 14, 1941","1941 Fire Protective Mobilization Committee memo, which talks about who was appointed to the Fire Protective Mobilization Committee, as well as listing some of the activities that the committee would perform.",en,,1941/05/14,1941-05-14,1941-05-14,1941-05-14,,Fire departments|| Virginia,Text,memorandums,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007058,Fire Department Selected Incident and Management Activity Statistics from June 1997,"Selected Statistics from June 1997, listing out the different types of incidents that occurred throughout the month of June.",en,,1997/06,1997-06,1997-06,1997-06,,Fire departments|| Virginia,Text,vital statistics records,9 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007059,"June 1992 Fire Report for the Salem Fire Department, July 1, 1992","Fire Report for the month of June, 1992, listing out the statistics such as the total amount of emergencies answered, as well as an attachment listing the classification of the call answered, its location, etc.",en,,1992/07/01,1992-07-01,1992-07-01,1992-07-01,,Fire departments|| Virginia,Text,memorandums,9 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007060,"February 1993 Fire Report for the Salem Fire Department, Written March 2, 1993","Fire Report for the month of February, 1993, listing out the statistics such as the total amount of emergencies answered and property loss as well as its cost.",en,,1993/03/02,1993-03-02,1993-03-02,1993-03-02,,Fire departments|| Virginia,Text,memorandums,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007061,"September 1994 Fire Report for the Salem Fire Department, Written October 5, 1994","Fire Reports for the month of September, 1994, listing out the statistics such as the total amount of emergencies answered and property loss as well as its cost.",en,,1994/10/05,1994-10-05,1994-10-05,1994-10-05,,Fire departments|| Virginia,Text,memorandums,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007062,"Fire Calls Memorandum, March 7, 1985","Memorandum listing the fire calls from 1983 to 1984, listing their classification, direction, and totals.",en,,1985/03/07,1985-03-07,1985-03-07,1985-03-07,,Fire departments|| Virginia,Text,memorandums,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007063,"Fiscal Year 1982 Salem Fire Department Report, Written July 1, 1982","Memorandum containing the Fiscal Year 1982 Annual Report, which lists the total alarms answered in Salem, the county, and outside counties, as well as the total cost of property damage and an attached report.",en,,1982/07/01,1982-07-01,1982-07-01,1982-07-01,,Fire departments|| Virginia,Text,memorandums,11 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007064,"Fiscal Year 1983 Salem Fire Department Report, Written July 1, 1983","Memorandum containing the Fiscal Year 1983 Annual Report, which lists the total alarms answered in Salem, the county, and outside counties, as well as the total cost of property damage and an attached report.",en,,1983/07/01,1983-07-01,1983-07-01,1983-07-01,,Fire departments|| Virginia,Text,memorandums,8 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007065,"Fiscal Year 1987 Salem Fire Department Report, Written July 6, 1987","Memorandum containing the Fiscal Year 1987 Annual Report, which lists the total alarms answered in Salem, the county, and outside counties, as well as the total cost of property damage and an attached report.",en,,1987/07/06,1987-07-06,1987-07-06,1987-07-06,,Fire departments|| Virginia,Text,memorandums,9 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007066,"Fiscal Year 1989 Salem Fire Department Report, Written July 11, 1989","Memorandum containing the Fiscal Year 1989 Annual Report, which lists the total alarms answered in Salem, the county, and outside counties, as well as the total cost of property damage and an attached report.",en,,1989/07/11,1989-07-11,1989-07-11,1989-07-11,,Fire departments|| Virginia,Text,memorandums,10 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007067,"Fiscal Year 1991 Salem Fire Department Report, Written August 2, 1991","Memorandum containing the Fiscal Year 1991 Annual Report, which lists the total alarms answered in Salem, the county, and outside counties, as well as the total cost of property damage and an attached report.",en,,1991/08/02,1991-08-02,1991-08-02,1991-08-02,,Fire departments|| Virginia,Text,memorandums,11 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007068,Various Salem Fire Department Monthly Reports from 1960 to 1974,"Various Monthly Reports about fire alarms answered, expenses, and other reports to the City Treasurer of Salem from 1960-1974",en,,1960||1974,1960/1974,1960||1974,1960,1974,Fire departments|| Virginia,Text,memorandums,231 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007069,Salem Fire Department Reports from 1947 to 1950,"Memorandums containing the Salem Fire Monthly Reports from 1947 to 1950, listing out the statistics such as the total amount of emergencies answered and property loss as well as its cost, etc.",en,,1947||1950,1947/1950,1947||1950,1947,1950,Fire departments|| Virginia,Text,memorandums,37 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007070,"Salem Fire Department Reports from July 1, 1942 to June 30, 1943","Memorandums of the monthly reports sent to the town manager from July 1, 1942 to June 30, 1943, listing out the statistics such as the total amount of emergencies answered and property loss as well as its cost, etc.",en,,1942||1943,1942/1943,1942||1943,1942,1943,Fire departments|| Virginia,Text,memorandums,12 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007071,"Salem Fire Department Reports from from July 1, 1941 to June 30, 1942","Memorandums of the monthly reports sent to the town manager from July 1, 1941 to June 30, 1942, listing out the statistics such as the total amount of emergencies answered and property loss as well as its cost, etc.",en,,1941/07/01||1942/06/30,1941-07-01/1942-06-30,1941-07-01||1942-06-30,1941-07-01,1942-06-30,Fire departments|| Virginia,Text,memorandums,12 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007072,Salem Fire Department Reports from October 1938 to June 1940,"Memorandums of the monthly reports sent to the town manager from October 1938 to June 1940, listing out the statistics such as the total amount of emergencies answered and property loss as well as its cost, etc., includes a newspaper clipping attachment.",en,,1938/12||1940/07,1938-12/1940-07,1938-12||1940-07,1938-12,1940-07,Fire departments|| Virginia,Text,memorandums,22 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007073,Salem Fire Department Fire Reports for June 1960,"Salem Fire Reports for June 1960, detailing who reported to the scene, descriptive info of the location and date, and the equipment used.",en,,1960/06,1960-06,1960-06,1960-06,,Fire departments|| Virginia,Text,accident reports,16 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007074,Salem Fire Department Fire Reports for May 1960,"Salem Fire Reports for May 1960, detailing who reported to the scene, descriptive info of the location and date, and the equipment used.",en,,1960,1960,1960,1960,,Fire departments|| Virginia,Text,accident reports,28 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007075,Salem Fire Department Fire Reports for March 1960,"Salem Fire Reports for March 1960, detailing who reported to the scene, descriptive info of the location and date, and the equipment used.",en,,1960/03,1960-03,1960-03,1960-03,,Fire departments|| Virginia,Text,accident reports,23 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007076,Salem Fire Department Fire Reports for February 1960,"Salem Fire Reports for February 1960, detailing who reported to the scene, descriptive info of the location and date, and the equipment used.",en,,1960/02,1960-02,1960-02,1960-02,,Fire departments|| Virginia,Text,accident reports,20 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007077,Salem Fire Department Fire Reports for January 1960,"Salem Fire Reports for January 1960, detailing who reported to the scene, descriptive info of the location and date, and the equipment used.",en,,1960/01,1960-01,1960-01,1960-01,,Fire departments|| Virginia,Text,accident reports,4 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007078,Salem Fire Department Fire Reports for December 1959,"Salem Fire Reports for December 1959, detailing who reported to the scene, descriptive info of the location and date, and the equipment used.",en,,1959/12,1959-12,1959-12,1959-12,,Fire departments|| Virginia,Text,accident reports,33 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007079,Salem Fire Department Fire Reports for November 1959,"Salem Fire Reports for November 1959, detailing who reported to the scene, descriptive info of the location and date, and the equipment used.",en,,1959/11,1959-11,1959-11,1959-11,,Fire departments|| Virginia,Text,accident reports,19 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007080,Salem Fire Department Fire Reports for October 1959,"Salem Fire Reports for October 1959, detailing who reported to the scene, descriptive info of the location and date, and the equipment used.",en,,1959/10,1959-10,1959-10,1959-10,,Fire departments|| Virginia,Text,accident reports,20 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007081,"The Public's Interest in the Fire Department's Work of Fire Prevention by A.C. Hutson, c. 1936","Official report from the National Board of Fire Underwriters, written in 1936 on the topic of the public's interest in the fire department's work in fire prevention.",en,,1936/07,1936-07,1936-07,1936-07,,Fire departments|| Virginia,Text,official reports,8 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007082,"Standards of the National Board of Fire Underwriters for Water Spray Systems for Fire Protection as recommended by the National Fire Protection Association, c. 1947",Pamphlet written by the National Board of Fire Underwriters in 1947 about the NBFU's standards for water spray systems for the purposes of fire protection.,en,,1947/11,1947-11,1947-11,1947-11,,Fire departments|| Virginia,Text,pamphlets,48 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007083,"Standards of the National Board of Fire Underwriters for the Installation, Maintenance, and Use of First Aid Fire Appliances as recommended by the National Fire Protection Administration, c. 1948","Pamphlet written by the National Board of Fire Underwriters in 1948 about the NBFU's standards for the installation, maintenance, and use of first aid fire appliances.",en,,1948/12,1948-12,1948-12,1948-12,,Fire departments|| Virginia,Text,pamphlets,84 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007084,"Standards of the National Board of Fire Underwriters for the Prevention of Dust Explosions in Starch Factories, Terminal Grain Elevators, Flour and Feed Mills as Recommended by the National Fire Protection Association, c. 1948","Pamphlet written by the National Board of Fire Underwriters in 1948 about the NBFU's standards for the prevention of dust explosions in starch factories, terminal grain elevators, and flour and feed mills.",en,,1948/02,1948-02,1948-02,1948-02,,Fire departments|| Virginia,Text,pamphlets,44 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007085,"Standards of the National Board of Fire Underwriters for the Installation and Operation of Centrifugal Fire Pumps as Recommended by the National Fire Protection Association, c. 1948",Pamphlet written by the National Board of Fire Underwriters in 1948 about the NBFU's standards for the installation and operation of centrifugal fire pumps.,en,,1948/08,1948-08,1948-08,1948-08,,Fire departments|| Virginia,Text,pamphlets,88 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007086,"Address by The Honorable Louis Johnson Secretary of Defense before the National Board of Fire Underwriters, May 26, 1949","A speech written by Louis Johnson, the Secretary of Defense at the time, addressed to the National Board of Fire Underwriters in 1949",en,,1949/05/26,1949-05-26,1949-05-26,1949-05-26,,Fire departments|| Virginia,Text,speeches (documents),24 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007087,"The Fire Chief's News Letter, Volume 12, Number 11, Written in November 1948",1948 International Association of Fire Chiefs Newsletter and National Board of Fire Underwriters bulletin,en,,1948,1948,1948,1948,,Fire departments|| Virginia,Text,newsletters,10 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007088,"Teamwork, Address by J.M. Haines, President, National Board of Fire Underwriters, May 26, 1949","National Board of Fire Underwriters, Address by J.M. Haines, President of the National Board of Fire Underwriters, May 26, 1949, on the topic of teamwork.",en,,1949/05/26,1949-05-26,1949-05-26,1949-05-26,,Fire departments|| Virginia,Text,speeches (documents),16 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007089,"Fire Protection Conference held at the 77th Annual General Meeting, Canadian Manufacturers' Association, Dated from May 26, 1948 to May 28, 1949","Proceedings documents from the Fire Protection Conference held at the 77th meeting of the Canadian Manufacturers' Association in Royal York Hotel, Toronto from May 26th to May 28th, 1948",en,,1948/05/26||1948/05/28,1948-05-26/1948-05-28,1948-05-26||1948-05-28,1948-05-26,1948-05-28,Fire departments|| Virginia,Text,conference proceedings,40 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007090,"Southwest Virginia Fireman's Association Memorandum, c. 1954",Memorandum concerning the SWVA Firemen’s Association and a meeting for it's 1954 convention.,en,,1954,1954,1954,1954,,Fire departments|| Virginia,Text,memorandums,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007091,"25th Annual Convention, Southwest Virginia Firemen's Association, Hosts: Washington County Firemen's Association, Organized 1971, Washington County, Abingdon, Virginia, June 11-12, 1971","SWVA Firemen’s Association 1971 Convention program, containing advertisements as well as the actual program and the pictures and names of various fire fighters.",en,,1971/06/11||1971/06/12,1971-06-11/1971-06-12,1971-06-11||1971-06-12,1971-06-11,1971-06-12,Fire departments|| Virginia,Text,programs (documents),68 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007092,"Southeastern Association of Fire Chiefs, Proceedings of the 44th Annual Conference, June 14-16, 1972, Regency Hyatt House Hotel, Atlanta, Georgia, P.O. Williams, Host Chief.","Proceedings of the 44th annual Southeastern Association of Fire Chiefs Conference, held in 1972.",en,,1972/06/14||1972/06/16,1972-06-14/1972-06-16,1972-06-14||1972-06-16,1972-06-14,1972-06-16,Fire departments|| Virginia,Text,conference proceedings,152 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007093,"Virginia State Firemen's Association Memorandum, January 1, 1941",1941 Memorandum regarding who is being appointed as a VA State Firemen's Association Officer. Enclosure mentioned in memo not contained.,en,,1941/01/01,1941-01-01,1941-01-01,1941-01-01,,Fire departments|| Virginia,Text,memorandums,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007094,"Virginia State Fireman's Convention Committee Memorandum, April 26, 1954",1954 Memorandum regarding the selection of Danville for the 68th Annual VA State Firemen’s Association Convention.,en,,1954/04/26,1954-04-26,1954-04-26,1954-04-26,,Fire departments|| Virginia,Text,memorandums,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007095,Virginia State Firemen's Association Memorandum and Proposed Constitutional Changes,"VA State Firemen's Association Memorandum about changes being made to their constitution and by-laws, with an attachment containing the changes to the constitution and by-laws of the association.",en,,,,,,,Fire departments|| Virginia,Text,memorandums,9 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007096,Virginia State Firemen's Association Memorandum Concerning Danville Convention,"VA State Firemen’s Association Memorandum concerning some logistical matters such as filling out an attached credential blank, mentioning that dues need to be sent in, etc.",en,,,,,,,Fire departments|| Virginia,Text,memorandums,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007097,"Virginia State Firemen's Association Memorandum, Proposed Constitutional Changes, and Dues Card, c. 1954","VA State Firemen's Association 1954 Memorandum, containing multiple attachments, the first being a dues payment card, and the other being a copy of the association constitution and proposed changes to said constitution.",en,,1954,1954,1954,1954,,Fire departments|| Virginia,Text,memorandums,11 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007098,"Virginia State Firemen's Association Memorandum Concerning a Survey, c. 1950s","Memorandum from the VA State Firemen's Association c.1950s, concerning the formation of the Fire Protective Mobilization Committee and its functions.",en,,195X,195X,195X,1950,1959,Fire departments|| Virginia,Text,memorandums,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007099,"Virginia State Firemen's Association Memorandum and Arlington County Firemen's Association Memorandum, February 1954","VA State Firemen's Association 2/1954 memorandums, the first having an attachment to a set of constitution changes, and the second one having an attachment to a bill being proposed to Virginia's House of Delegates.",en,,1954/02,1954-02,1954-02,1954-02,,Fire departments|| Virginia,Text,Memorandums,7 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007100,"61st Annual Virginia State Firemen's Association Convention, August 12-15 1947, Newport News Virginia, Official Program","VA State Firemen’s Association 1947 Convention Program, containing additional ads and articles within the program.",en,,1947/08/12||1947/08/15,1947-08-12/1947-08-15,1947-08-12||1947-08-15,1947-08-12,1947-08-15,Fire departments|| Virginia,Text,programs (documents),68 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007101,"62nd Convention, Virginia State Firemen's Association, August 10-13, 1948, Salem, Virginia","VA State Firemen's Association 1948 Convention Program, containing additional ads and articles within the program.",en,,1948/08/10||1948/08/13,1948-08-10/1948-08-13,1948-08-10||1948-08-13,1948-08-10,1948-08-13,Fire departments|| Virginia,Text,programs (documents),28 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007102,"Virginia State Firemen's Association 80th Annual Convention, August 8-12, 1966, Buckroe Fire Company, Hampton, Virginia","VA State Firemen's Association 1966 Convention Program, containing additional ads and articles within the program.",en,,1966/08/08||1966/08/12,1966-08-08/1966-08-12,1966-08-08||1966-08-12,1966-08-08,1966-08-12,Fire departments|| Virginia,Text,programs (documents),42 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007103,"Reports, Virginia State Firemen's Association, 82nd Convention, Colonial Beach, Virginia, August 12-16, 1968","Reports from the 82nd Convention of the VA State Firemen's Association, held in 1968.",en,,1968/08/12||1968/08/16,1968-08-12/1968-08-16,1968-08-12||1968-08-16,1968-08-12,1968-08-16,Fire departments|| Virginia,Text,annual reports,16 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007104,"84th Annual Convention, Virginia State Firemen's Association, August 9-14, 1970","VA State Firemen's Association 1970 Convention Program, containing additional ads and articles within the program.",en,,1970/08/09||1970/08/14,1970-08-09/1970-08-14,1970-08-09||1970-08-14,1970-08-09,1970-08-14,Fire departments|| Virginia,Text,programs (documents),48 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007105,"85th Annual Convention, Virginia State Firemen's Association, August 8-13, 1971, Hampton, Virginia","VA State Firemen's Association 1971 Convention Program, containing additional ads and articles within the program.",en,,1971/08/08||1971/08/13,1971-08-08/1971-08-13,1971-08-08||1971-08-13,1971-08-08,1971-08-13,Fire departments|| Virginia,Text,programs (documents),60 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007106,"Reports, Virginia State Firemen's Association, 86th Convention, Charlottesville Fire Co., Charlottesville, Virginia, Host, August 8-11, 1972","Reports from the 82nd Convention of the VA State Firemen's Association, held in 1972. ",en,,1972/08/08||1972/08/11,1972-08-08/1972-08-11,1972-08-08||1972-08-11,1972-08-08,1972-08-11,Fire departments|| Virginia,Text,annual reports,16 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
