basis_of_record,other_identifier,identifier,title,contributor,date,display_date,start_date,description,spatial,locality,decimalLatitude,decimalLongitude,Locality,Repository,license,rights_holder,recordId,references,visibility,type,format
PreservedSpecimen,Occurrence ID: 5974ba08-71eb-4391-9447-d599dfd4ba80,VTEC000007416,"Phyciodes tharos ((Drury, 1773))",Fairservice (recorded by),1978-07-15,1978-07-15,1978/07/15,lifeStage: Adult||preparations: pinned specimen,"Montgomery, Virginia, United States","In Field, Christiansburg",37.129852,-80.408939,37.129852||-80.408939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:5974ba08-71eb-4391-9447-d599dfd4ba80,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57348725,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 61c3ac31-0c80-4f05-9628-6ac0443f1ac9,VTEC000007417,"Phyciodes tharos ((Drury, 1773))",A. Beck (recorded by),1978-05-03,1978-05-03,1978/05/03,lifeStage: Adult||preparations: pinned specimen,"Roanoke, Virginia, United States",Catawba,37.382632,-80.109489,37.382632||-80.109489,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:61c3ac31-0c80-4f05-9628-6ac0443f1ac9,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57348729,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: e1d1c310-6fae-41bf-92c6-7a2f9e40cc47,VTEC000007418,"Phyciodes tharos ((Drury, 1773))",A. Beck (recorded by),1978-05-03,1978-05-03,1978/05/03,lifeStage: Adult||preparations: pinned specimen,"Roanoke, Virginia, United States",Catawba,37.382632,-80.109489,37.382632||-80.109489,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:e1d1c310-6fae-41bf-92c6-7a2f9e40cc47,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57348732,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 902b529f-1d57-46dd-98b4-8c220275f125,VTEC000007419,"Phyciodes tharos ((Drury, 1773))",A. Beck (recorded by),1978-05-03,1978-05-03,1978/05/03,lifeStage: Adult||preparations: pinned specimen,"Roanoke, Virginia, United States",Catawba,37.382632,-80.109489,37.382632||-80.109489,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:902b529f-1d57-46dd-98b4-8c220275f125,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57348735,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 74a967ef-639d-4cd0-bd91-26a13ee5631b,VTEC000007420,"Phyciodes tharos ((Drury, 1773))",A. F. Beck (recorded by),1978-05-03,1978-05-03,1978/05/03,lifeStage: Adult||preparations: pinned specimen,"Roanoke, Virginia, United States",Catawba,37.382632,-80.109489,37.382632||-80.109489,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:74a967ef-639d-4cd0-bd91-26a13ee5631b,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57348744,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 53414d9b-2412-428e-97d6-e544a1915eb9,VTEC000007421,"Phyciodes (Hübner, 1819)",AB (recorded by),1977-10-09,1977-10-09,1977/10/09,lifeStage: Adult||preparations: pinned specimen,"Montgomery, Virginia, United States",Christiansburg,37.129852,-80.408939,37.129852||-80.408939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:53414d9b-2412-428e-97d6-e544a1915eb9,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57348748,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 4835b298-731e-4ff8-b5e8-ca9a14e7ae24,VTEC000007422,"Phyciodes tharos ((Drury, 1773))",AB (recorded by),1977-05-22,1977-05-22,1977/05/22,lifeStage: Adult||preparations: pinned specimen,"Sullivan, New York, United States",Hortonville,41.764255,-75.030166,41.764255||-75.030166,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:4835b298-731e-4ff8-b5e8-ca9a14e7ae24,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57348793,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 6546c0c2-6452-4712-88cc-bfb1883c318d,VTEC000007423,Phyciodes sp.,AB (recorded by),1977-05-22,1977-05-22,1977/05/22,lifeStage: Adult||preparations: pinned specimen,"Sullivan, New York, United States",Hortonville; 41.764255 -75.030166,41.764255,-75.030166,41.764255||-75.030166,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:6546c0c2-6452-4712-88cc-bfb1883c318d,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57348798,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 6183a40d-fd6f-4ba3-aa4f-5f0cf095e6a1,VTEC000007424,"Phyciodes tharos ((Drury, 1773))",D. Eger (recorded by),1973-10-17,1973-10-17,1973/10/17,lifeStage: Adult||preparations: pinned specimen,"Montgomery, Virginia, United States",0,37.1667,-80.3833,37.1667||-80.3833,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:6183a40d-fd6f-4ba3-aa4f-5f0cf095e6a1,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57348800,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 5caf477d-5568-40d3-8edd-2bbdd77b4c37,VTEC000007425,Phyciodes sp.,M. A. Hopkins (recorded by),1977-03-27,1977-03-27,1977/03/27,lifeStage: Adult||preparations: pinned specimen,"Duval, Florida, United States",0,30.355084,-81.770294,30.355084||-81.770294,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:5caf477d-5568-40d3-8edd-2bbdd77b4c37,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57348803,True,still image,image/tiff
