basis_of_record,other_identifier,identifier,title,contributor,date,display_date,start_date,description,spatial,locality,decimalLatitude,decimalLongitude,Locality,Repository,license,rights_holder,recordId,references,visibility,type,format
PreservedSpecimen,Occurrence ID: 5553d128-e845-40ee-aeff-cdc32ddc5e44,VTEC000004833,Scolia dubia (Say),G. B. Straley (recorded by),1970-08-17,1970-08-17,1970/08/17,lifeStage: Adult||preparations: pinned specimen,"New Kent, Virginia, United States",S. of Lanexa,37.408792,-76.899657,37.408792||-76.899657,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:5553d128-e845-40ee-aeff-cdc32ddc5e44,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48853575,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: e8f1f5b8-9e72-4b72-90e7-480d2db19a2a,VTEC000004834,Scolia dubia (Say),D. Rowe (recorded by),1978-08-26,1978-08-26,1978/08/26,habitat: Lawn||lifeStage: Adult||preparations: pinned specimen,"Wyoming, West Virginia, United States",Oceana,37.692327,-81.632924,37.692327||-81.632924,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:e8f1f5b8-9e72-4b72-90e7-480d2db19a2a,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858220,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: fc59849b-c58b-4b05-a2b5-e8b5f2a988c4,VTEC000004835,Scolia bicincta (Fabricius),J. M. Grayson (recorded by),1944-08-29,1944-08-29,1944/08/29,lifeStage: Adult||preparations: pinned specimen,"Suffolk, Virginia, United States",Holland,36.681262,-76.780236,36.681262||-76.780236,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:fc59849b-c58b-4b05-a2b5-e8b5f2a988c4,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858221,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 7671e354-fe73-41a1-881c-0f4bb094388b,VTEC000004836,"Euphoria fulgida ((Fabricius, 1775))",E. Day (recorded by),1998-06-03,1998-06-03,1998/06/03,lifeStage: Adult||preparations: pinned specimen,"Frederick, Virginia, United States",,39.203931,-78.271973,39.203931||-78.271973,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:7671e354-fe73-41a1-881c-0f4bb094388b,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858222,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 7ba3801b-a6b5-4729-a1ed-8506eec33b27,VTEC000004837,"Euphoria inda ((Linnaeus, 1758))",Marvin L. Bobb (recorded by),1934-08-21,1934-08-21,1934/08/21,lifeStage: Adult||preparations: pinned specimen,"Montgomery, Virginia, United States",Blacksburg,37.229573,-80.413939,37.229573||-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:7ba3801b-a6b5-4729-a1ed-8506eec33b27,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858223,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 645e2ce4-2b27-4fd8-8894-084d25a89281,VTEC000004838,Rhaxonycha carolina,"C. B. Nolen, Jr. (recorded by)",1959-05-06,1959-05-06,1959/05/06,lifeStage: Adult||preparations: pinned specimen,"Montgomery, Virginia, United States",Blacksburg,37.229573,-80.413939,37.229573||-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:645e2ce4-2b27-4fd8-8894-084d25a89281,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858224,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 08c5933b-e4b3-4865-9184-283f4ef6ab47,VTEC000004839,"Chauliognathus pensylvanicus ((DeGeer, 1773)))",C. R. Parker (recorded by),1976-08-23,1976-08-23,1976/08/23,habitat: Field||lifeStage: Adult||preparations: pinned specimen,"Carroll, Virginia, United States","New River, Fries Bridge",36.713477,-80.960924,36.713477||-80.960924,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:08c5933b-e4b3-4865-9184-283f4ef6ab47,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858243,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 87486c24-f865-4732-8405-3f37c7e0427f,VTEC000004840,Enoclerus ichneumoneus,A. M. Woodside (recorded by),1945-06-22,1945-06-22,1945/06/22,habitat: on peach||lifeStage: Adult||preparations: pinned specimen,"Albemarle, Virginia, United States",Crozet,38.069582,-78.700575,38.069582||-78.700575,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:87486c24-f865-4732-8405-3f37c7e0427f,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858265,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: fa0a883c-190a-41cc-9094-0f23c6c958b3,VTEC000004841,Coccinella maculata maculata,,1936-10,1936-10,1936/10,lifeStage: Adult||preparations: pinned specimen,"Virginia, United States",Blue Ridge,37.378469,-79.806983,37.378469||-79.806983,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:fa0a883c-190a-41cc-9094-0f23c6c958b3,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858280,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 7c387996-abfd-4870-a9cd-d6001388032f,VTEC000004842,"Hippodamia convergens (Guérin-Méneville, 1842)",W. Tarpley (recorded by),1963-08-15,1963-08-15,1963/08/15,lifeStage: Adult||preparations: pinned specimen,"Middlesex, Virginia, United States",0,37.603264,-76.550221,37.603264||-76.550221,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:7c387996-abfd-4870-a9cd-d6001388032f,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858327,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 6d628fb5-5e5f-4cea-9687-dfb88dde7944,VTEC000004843,Chilocorus stigma,J. R. Bliss (recorded by),1962-04-23,1962-04-23,1962/04/23,habitat: Field||lifeStage: Adult||preparations: pinned specimen,"Montgomery, Virginia, United States",Blacksburg,37.229573,-80.413939,37.229573||-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:6d628fb5-5e5f-4cea-9687-dfb88dde7944,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858354,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 3fd1117c-cbb4-4c8b-a650-ddedffe2b785,VTEC000004844,Hoshihananomia octopunctata,Garth (recorded by),1942-05,1942-05,1942/05,lifeStage: Adult||preparations: pinned specimen,"Montgomery, Virginia, United States",Blacksburg,37.229573,-80.413939,37.229573||-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:3fd1117c-cbb4-4c8b-a650-ddedffe2b785,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858360,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 0d828112-9e71-4b84-a100-ee544bb48cc5,VTEC000004845,Tomoxia lineella,Eric Day (recorded by),2002-07-09,2002-07-09,2002/07/09,lifeStage: Adult||preparations: pinned specimen,"Loudoun, Virginia, United States","Malick Farm, Neersville",39.261213,-77.725826,39.261213||-77.725826,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:0d828112-9e71-4b84-a100-ee544bb48cc5,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858361,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 8aa43ef5-e346-4ec8-a376-8efb961896c9,VTEC000004846,Meloe angusticollis,K. F. Lannon (recorded by),1975-09-01,1975-09-01,1975/09/01,habitat: Tall grass||lifeStage: Adult||preparations: pinned specimen,"Allegany, Maryland, United States","Midland, Dans Rock Road",39.587365,-78.919132,39.587365||-78.919132,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:8aa43ef5-e346-4ec8-a376-8efb961896c9,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858367,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: fde5faff-493c-43dc-b79c-e86ddbd259b8,VTEC000004847,"Lytta (Fabricius, 1775)",A. M. Woodside (recorded by),1946-04-15,1946-04-15,1946/04/15,habitat: on peach||lifeStage: Adult||preparations: pinned specimen,"Albemarle, Virginia, United States",Greenwood,38.055693,-78.770577,38.055693||-78.770577,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:fde5faff-493c-43dc-b79c-e86ddbd259b8,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858379,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 5fcb5cc1-417e-43eb-b81c-ea749a64c61e,VTEC000004848,Pyrota mutata (Gemminger),A. M. Woodside (recorded by),1947-06-24,1947-06-24,1947/06/24,habitat: on Achillea millefolium||lifeStage: Adult||preparations: pinned specimen,"Albemarle, Virginia, United States",Crozet,38.069582,-78.700575,38.069582||-78.700575,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:5fcb5cc1-417e-43eb-b81c-ea749a64c61e,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858391,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 4d0d5b53-9e32-4919-bf39-3bed11149784,VTEC000004849,"Epicauta (Dejean, 1834)",T. McAvoy (recorded by),1974-08-17,1974-08-17,1974/08/17,lifeStage: Adult||preparations: pinned specimen,"New Castle, Delaware, United States",Newark,39.683723,-75.749657,39.683723||-75.749657,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:4d0d5b53-9e32-4919-bf39-3bed11149784,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858401,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 92f20cad-3e89-4701-a688-418566724c67,VTEC000004850,"Pidonia aurata ((Horn, 1860))",Barry Lee Bressler (recorded by),1978-07-08,1978-07-08,1978/07/08,habitat: Spikenard||lifeStage: Adult||preparations: pinned specimen,"Augusta, Virginia, United States",Ramsey's Draft,38.346025,-79.332694,38.346025||-79.332694,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:92f20cad-3e89-4701-a688-418566724c67,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858404,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: ec24cc76-21be-4ed8-9628-f89c38b41564,VTEC000004851,Analeptura lineola,Mike Williams (recorded by),1970-06-25,1970-06-25,1970/06/25,lifeStage: Adult||preparations: pinned specimen,"Rockbridge, Virginia, United States","Natue Camp, Vesuvius",37.876759,-79.216433,37.876759||-79.216433,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:ec24cc76-21be-4ed8-9628-f89c38b41564,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858421,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: e0c23ff2-8c9e-4de3-822c-22805908f97f,VTEC000004852,Brachysomida bivittata,Fairservice (recorded by),1979-05-21,1979-05-21,1979/05/21,habitat: on raspberry bush||lifeStage: Adult||preparations: pinned specimen,"Montgomery, Virginia, United States",Christiansburg,37.129852,-80.397266,37.129852||-80.397266,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:e0c23ff2-8c9e-4de3-822c-22805908f97f,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858426,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 4fb5d972-a1fc-41c3-81ee-e8a72a8201a0,VTEC000004853,Typocerus lunulatus,Barry Lee Bressler (recorded by),,,,lifeStage: Adult||preparations: pinned specimen,"Spotsylvania, Virginia, United States",Fredericksburg,38.303184,-77.46054,38.303184||-77.46054,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:4fb5d972-a1fc-41c3-81ee-e8a72a8201a0,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858451,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 2eb425c5-ba17-429e-a512-ea43c702d971,VTEC000004854,Typocerus sinuatus,M. L. Bobb (recorded by),,,,lifeStage: Adult||preparations: pinned specimen,"Roanoke, Virginia, United States",Bonsack,37.325356,-79.869186,37.325356||-79.869186,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:2eb425c5-ba17-429e-a512-ea43c702d971,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858459,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 464fd468-6b48-4d72-91c2-7c43c250717a,VTEC000004855,Typocerus velutinus,S. W. Bullington (recorded by),1975-07-07,1975-07-07,1975/07/07,habitat: On Viburnum flowers along shore||lifeStage: Adult||preparations: pinned specimen,"Montgomery, Virginia, United States",Pandapas Pond,37.281354,-80.467988,37.281354||-80.467988,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:464fd468-6b48-4d72-91c2-7c43c250717a,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858464,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 0b4b1c85-6e4d-4533-a923-61d75f7f3b3c,VTEC000004856,Typocerus zebra,Barry Lee Bressler (recorded by),1973-06-13,1973-06-13,1973/06/13,habitat: on Milkweed||lifeStage: Adult||preparations: pinned specimen,"Spotsylvania, Virginia, United States",Fredericksburg,38.303184,-77.46054,38.303184||-77.46054,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:0b4b1c85-6e4d-4533-a923-61d75f7f3b3c,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858469,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: aed6dc41-0367-4ff6-ba17-e728c69d6e3b,VTEC000004857,Judolia cordifera,Barry Lee Bressler (recorded by),1981-06-11,1981-06-11,1981/06/11,lifeStage: Adult||preparations: pinned specimen,"Stafford, Virginia, United States",Ferry Farm,38.293184,-77.437484,38.293184||-77.437484,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:aed6dc41-0367-4ff6-ba17-e728c69d6e3b,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858486,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 90057e4c-20b8-4f3c-ae3d-d7f9d99a0bbb,VTEC000004858,Strangalepta abbreviata,S. W. Bullington (recorded by),1976-05-22,1976-05-22,1976/05/22,"habitat: Dismal Swamp, blackberry fllowers||lifeStage: Adult||preparations: pinned specimen","Gates, North Carolina, United States","Dismal Swamp, Atlantic Rd.",36.443174,-76.608052,36.443174||-76.608052,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:90057e4c-20b8-4f3c-ae3d-d7f9d99a0bbb,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391313,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 662828b6-72cb-4eea-a4ce-2f1fc76a273e,VTEC000004859,Evodinus monticola vancouveri,J. B. Karren (recorded by),1961-06-16,1961-06-16,1961/06/16,lifeStage: Adult||preparations: pinned specimen,"Lane, Oregon, United States","Gold Lake, Williamette Nat. Forest",43.633422,-122.04303,43.633422||-122.04303,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:662828b6-72cb-4eea-a4ce-2f1fc76a273e,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391334,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: dfd22a3c-2759-4a50-ac55-df3de0c3213d,VTEC000004860,Stenelytrana emarginata,,1942-06-06,1942-06-06,1942/06/06,lifeStage: Adult||preparations: pinned specimen,"Frederick, Virginia, United States",Oak Grove Orchard,39.205394,-78.261607,39.205394||-78.261607,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:dfd22a3c-2759-4a50-ac55-df3de0c3213d,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391339,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 0d972ea4-7230-49af-abd1-cf656f41cfb6,VTEC000004861,"Brachyleptura rubrica ((Say, 1824))",Barry Lee Bressler (recorded by),1989-06-11,1989-06-11,1989/06/11,lifeStage: Adult||preparations: pinned specimen,"Spotsylvania, Virginia, United States",0,38.185459,-77.65824,38.185459||-77.65824,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:0d972ea4-7230-49af-abd1-cf656f41cfb6,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391348,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 4db78476-c8fe-4519-9103-186d8d9b3855,VTEC000004862,Brachyleptura vagans,,1982-06-27,1982-06-27,1982/06/27,habitat: New Jersey Tea||lifeStage: Adult||preparations: pinned specimen,"Rockingham, Virginia, United States","Shenandoah Nat Park, Two Mile Run Overlook, MM 76",38.29789,-78.648058,38.29789||-78.648058,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:4db78476-c8fe-4519-9103-186d8d9b3855,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391371,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: d35d8673-ba33-4b00-a0f0-06527c85ee63,VTEC000004863,Brachyleptura circumdata,Kondratieff (recorded by),1982-04-28,1982-04-28,1982/04/28,lifeStage: Adult||preparations: pinned specimen,"Brunswick, Virginia, United States",0,36.774204,-77.86236,36.774204||-77.86236,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:d35d8673-ba33-4b00-a0f0-06527c85ee63,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391396,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 30c48760-cd5b-4b32-bf44-7de1d363bf9b,VTEC000004864,Stictoleptura canadensis,H. M. Kulman (recorded by),1957-07,1957-07,1957/07,habitat: Pine logs||lifeStage: Adult||preparations: pinned specimen,"Beltrami, Minnesota, United States",Bemidji,47.462655,-94.863454,47.462655||-94.863454,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:30c48760-cd5b-4b32-bf44-7de1d363bf9b,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391406,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: d275bd5c-e256-4a03-9b4f-8ecd64f225c1,VTEC000004865,Xestoleptura octonotata (Say),,1968-07-07,1968-07-07,1968/07/07,lifeStage: Adult||preparations: pinned specimen,"Beaver, Pennsylvania, United States",Raccoon Creek Park,40.507066,-80.432511,40.507066||-80.432511,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:d275bd5c-e256-4a03-9b4f-8ecd64f225c1,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391413,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: d724cc7f-9924-4455-92bd-b07b9201f8d2,VTEC000004866,Charisalia americana,L. M. Los (recorded by),1982-06-15,1982-06-15,1982/06/15,habitat: On vegetation||lifeStage: Adult||preparations: pinned specimen,"Giles, Virginia, United States",Little Stony Creek Cascades,37.361161,-80.586819,37.361161||-80.586819,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:d724cc7f-9924-4455-92bd-b07b9201f8d2,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391434,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: dde11c32-e345-4ee0-969d-28824a94292d,VTEC000004867,Strophiona nitens,,1975-07-03,1975-07-03,1975/07/03,lifeStage: Adult||preparations: pinned specimen,"Giles, Virginia, United States",Mt. Lake Biological Station,37.374927,-80.522902,37.374927||-80.522902,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:dde11c32-e345-4ee0-969d-28824a94292d,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391446,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: cf9ed330-7e78-4f55-b51f-b744ad995b5e,VTEC000004868,Encyclops caerulea (Say),A. F. Beck (recorded by),1979-06-07,1979-06-07,1979/06/07,lifeStage: Adult||preparations: pinned specimen,"Giles, Virginia, United States",Mountain Lake,37.360367,-80.534504,37.360367||-80.534504,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:cf9ed330-7e78-4f55-b51f-b744ad995b5e,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391452,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 77fa5b60-cd6d-4212-87b8-5728159a54ca,VTEC000004869,Gaurotes cyanipennis (Say),P. K. Powell (recorded by),1977-07-10,1977-07-10,1977/07/10,lifeStage: Adult||preparations: pinned specimen,"Montgomery, Virginia, United States","Poverty Hollow, Rt. 708",37.251352,-80.52949,37.251352||-80.52949,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:77fa5b60-cd6d-4212-87b8-5728159a54ca,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391463,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 077432e3-1aca-4e49-92ed-8ac00cb6f78f,VTEC000004870,Strangalia luteicornis,,1940-07-21,1940-07-21,1940/07/21,habitat: on wild carrot||lifeStage: Adult||preparations: pinned specimen,"Augusta, Virginia, United States",0,38.160749,-79.12854,38.160749||-79.12854,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:077432e3-1aca-4e49-92ed-8ac00cb6f78f,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391564,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 18663957-9b05-4b7e-a2e2-cbbcb83efea7,VTEC000004871,Strangalia acuminata,S. Bullington (recorded by),1975-06-18,1975-06-18,1975/06/18,lifeStage: Adult||preparations: pinned specimen,"Montgomery, Virginia, United States",0,37.165606,-80.384673,37.165606||-80.384673,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:18663957-9b05-4b7e-a2e2-cbbcb83efea7,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391605,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 350c5bbe-812d-471e-8f02-5430e7e850df,VTEC000004872,Strangalia famelica,L. M. Los (recorded by),1980-06-21,1980-06-21,1980/06/21,habitat: On vegetation||lifeStage: Adult||preparations: pinned specimen,"Botetourt, Virginia, United States","Roaring Run Furnace, Rt. 621",37.707906,-79.893106,37.707906||-79.893106,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:350c5bbe-812d-471e-8f02-5430e7e850df,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391622,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 2c1e062a-b6d7-4e74-aa98-59f2262b5110,VTEC000004873,Desmocerus palliatus,S. W. Bullington (recorded by),1975-06-23,1975-06-23,1975/06/23,habitat: Pine tree||lifeStage: Adult||preparations: pinned specimen,"Montgomery, Virginia, United States","Brush Mtn. St., Rt. 624, 1014 Meadowbrook Rd.",37.339269,-80.253544,37.339269||-80.253544,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:2c1e062a-b6d7-4e74-aa98-59f2262b5110,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391653,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: b9b94431-e89c-4dd5-bf6a-8b7b44be5113,VTEC000004874,Purpuricenus humeralis,,1989-06-30,1989-06-30,1989/06/30,lifeStage: Adult||preparations: pinned specimen,"Essex, New Jersey, United States",South Orange,40.74899,-74.261258,40.74899||-74.261258,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:b9b94431-e89c-4dd5-bf6a-8b7b44be5113,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391691,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: e0f2a366-4dac-44cd-82fa-6cd1acd77f10,VTEC000004875,"Psyrassa pertenuis ((Casey, 1924))",Barry Lee Bressler (recorded by),1975-07-02,1975-07-02,1975/07/02,lifeStage: Adult||preparations: pinned specimen,"Sevier, Tennessee, United States",Gatlinburg,35.721139,-83.49689,35.721139||-83.49689,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:e0f2a366-4dac-44cd-82fa-6cd1acd77f10,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391695,True,still image,image/tiff
